"Cena";"Waluta";"Cena.w.PLN";"KM";"kW";"Marka";"Model";"Wersja";"Liczba.drzwi";"Pojemnosc.skokowa";"Przebieg.w.km";"Rodzaj.paliwa";"Rok.produkcji";"Kolor";"Kraj.aktualnej.rejestracji";"Kraj.pochodzenia";"Skrzynia.biegow"
15900;"PLN";15900;95;70;"Ford";"Streetka";"";"2/3";1600;NA;"benzyna";2003;"srebrny-metallic";"";"";"manualna"
1600;"PLN";1600;70;51;"Ford";"Fiesta";"Mk3";"4/5";1800;150;"olej napedowy (diesel)";1991;"bialy";"Polska";"";"manualna"
10300;"PLN";10300;136;100;"Opel";"Astra";"II";"2/3";1998;169000;"benzyna";1999;"srebrny";"";"Niemcy";"manualna"
98000;"CZK";16767,8;113;83;"Renault";"Megane";"";"2/3";1598;159377;"benzyna";2003;"czarny-metallic";"";"";"manualna"
103410;"PLN";103410;160;118;"Opel";"Insignia";"";"4/5";1956;NA;"olej napedowy (diesel)";2011;"brezowy-metallic";"";"";"manualna"
324167;"CZK";55464,9737;116;85;"Ford";"Focus C-Max";"";"4/5";1753;94000;"olej napedowy (diesel)";2009;"niebieski-metallic";"";"Czechy";""
4400;"PLN";4400;NA;NA;"Renault";"Laguna";"I";"4/5";1870;NA;"olej napedowy (diesel)";2000;"";"Wielka Brytania";"Wielka Brytania";"manualna"
15700;"PLN";15700;95;70;"Ford";"Streetka";"";"2/3";1600;121000;"benzyna";2003;"srebrny-metallic";"Niemcy";"Niemcy";"manualna"
5900;"PLN";5900;NA;NA;"Renault";"Scenic";"I";"";1600;NA;"benzyna";1999;"";"";"";""
33500;"PLN";33500;109;80;"Ford";"Focus C-Max";"";"4/5";1560;126000;"olej napedowy (diesel)";2004;"srebrny-metallic";"";"";"manualna"
82500;"CZK";14115,75;65;48;"Renault";"Kangoo";"";"4/5";1461;195000;"olej napedowy (diesel)";2005;"zielony";"";"Czechy";"manualna"
7900;"PLN";7900;110;81;"Renault";"Laguna";"I";"4/5";1598;182000;"benzyna";2000;"szary-metallic";"";"";"manualna"
31000;"PLN";31000;105;77;"Ford";"Focus";"Mk2";"4/5";1596;5;"benzyna";2011;"czarny-metallic";"Polska";"Polska";"manualna"
2300;"PLN";2300;NA;NA;"Opel";"Astra";"I";"4/5";1600;220000;"benzyna+LPG";1993;"bordowy-metallic";"Polska";"";"manualna"
6700;"PLN";6700;75;55;"Renault";"Kangoo";"I";"4/5";1390;190100;"benzyna";1999;"czerwony";"Polska";"Niemcy";"manualna"
10700;"PLN";10700;NA;NA;"Renault";"Scenic";"I";"4/5";1600;NA;"benzyna";2000;"srebrny-metallic";"";"";"manualna"
17900;"PLN";17900;101;74;"Opel";"Meriva";"";"4/5";1700;116700;"olej napedowy (diesel)";2005;"zielony-metallic";"Polska";"Niemcy";"manualna"
6000;"PLN";6000;110;81;"Renault";"Megane";"I";"2/3";1598;166000;"benzyna";2000;"srebrny-metallic";"Polska";"";"manualna"
7900;"PLN";7900;60;44;"Opel";"Corsa";"B";"4/5";1300;164000;"benzyna";1998;"zielony-metallic";"Polska";"Polska";"manualna"
2200;"PLN";2200;NA;NA;"Opel";"Vectra";"A";"4/5";1600;NA;"benzyna+LPG";1996;"szary-metallic";"Polska";"Niemcy";"manualna"
767;"EUR";3387,6856;75;55;"Renault";"Megane";"I";"4/5";1600;NA;"benzyna";1996;"szary-metallic";"";"";"manualna"
12900;"PLN";12900;100;74;"Opel";"Astra";"II";"4/5";1995;219000;"olej napedowy (diesel)";2001;"granatowy-metallic";"Polska";"";"manualna"
7200;"PLN";7200;190;140;"Renault";"Laguna";"I";"4/5";1948;196000;"benzyna";2000;"zielony-metallic";"Polska";"Polska";"manualna"
9900;"PLN";9900;150;110;"Renault";"Laguna";"II";"4/5";2183;80000;"olej napedowy (diesel)";2003;"";"Polska";"";"automatyczna"
9500;"PLN";9500;125;92;"Opel";"Vectra";"B";"4/5";1796;151000;"benzyna";2000;"zloty-metallic";"Polska";"Polska";"manualna"
3450;"PLN";3450;60;44;"Ford";"Fiesta";"Mk4";"4/5";1299;105000;"benzyna";1998;"srebrny-metallic";"";"Niemcy";"manualna"
20800;"PLN";20800;NA;NA;"Opel";"Astra";"III";"4/5";1600;105000;"benzyna";2007;"czarny-metallic";"Polska";"Polska";"manualna"
8900;"PLN";8900;100;74;"Opel";"Vectra";"B";"4/5";1995;171500;"olej napedowy (diesel)";1999;"srebrny-metallic";"";"Niemcy";"manualna"
59900;"CZK";10248,89;170;125;"Opel";"Omega";"";"4/5";2498;185000;"benzyna";1999;"niebieski-metallic";"";"Czechy";"manualna"
10900;"PLN";10900;120;88;"Renault";"Laguna";"II";"4/5";1870;NA;"olej napedowy (diesel)";2002;"";"Polska";"Polska";"manualna"
17900;"PLN";17900;100;74;"Ford";"Transit";"";"4/5";2000;166000;"olej napedowy (diesel)";2001;"bialy";"";"Holandia";"manualna"
14900;"PLN";14900;120;88;"Renault";"Laguna";"II";"4/5";1870;222000;"olej napedowy (diesel)";2003;"srebrny-metallic";"";"Belgia";"manualna"
9900;"PLN";9900;130;96;"Ford";"Focus";"Mk1";"4/5";1988;245000;"benzyna";1999;"srebrny-metallic";"Polska";"";"manualna"
3200;"PLN";3200;NA;NA;"Ford";"Escort";"Mk7";"4/5";1600;NA;"benzyna+LPG";1999;"czerwony";"Polska";"";"manualna"
12500;"PLN";12500;130;96;"Ford";"Mondeo";"Mk3";"4/5";2000;NA;"olej napedowy (diesel)";2003;"srebrny-metallic";"Polska";"Belgia";"manualna"
19600;"PLN";19600;100;74;"Opel";"Meriva";"";"4/5";1700;NA;"olej napedowy (diesel)";2004;"czarny-metallic";"Polska";"";"manualna"
4290;"EUR";18948,072;60;44;"Opel";"Corsa";"C";"2/3";998;74141;"benzyna";2006;"szary-metallic";"";"";"manualna"
36900;"PLN";36900;82;60;"Ford";"Fiesta";"Mk6";"2/3";1250;NA;"benzyna";2011;"bialy";"";"";"manualna"
7900;"PLN";7900;98;72;"Renault";"Thalia";"";"4/5";1400;116000;"benzyna";2001;"srebrny-metallic";"";"Polska";"manualna"
12300;"PLN";12300;65;48;"Renault";"Kangoo";"II";"2/3";1461;NA;"olej napedowy (diesel)";2005;"bialy";"Polska";"Polska";"manualna"
6400;"PLN";6400;90;66;"Renault";"Scenic";"I";"4/5";1600;NA;"benzyna";1997;"granatowy-metallic";"Polska";"Niemcy";"manualna"
2097;"PLN";2097;115;85;"Opel";"Calibra";"";"2/3";1998;137500;"benzyna";1992;"czerwony";"Polska";"Niemcy";"automatyczna"
20900;"PLN";20900;NA;NA;"Renault";"Grand Scenic";"";"4/5";1900;180000;"olej napedowy (diesel)";2005;"";"";"";"manualna"
32500;"PLN";32500;75;55;"Opel";"Corsa";"D";"4/5";1248;6700;"olej napedowy (diesel)";2011;"bezowy";"";"Francja";"manualna"
16500;"PLN";16500;120;88;"Renault";"Scenic";"II";"4/5";1900;NA;"olej napedowy (diesel)";2003;"srebrny-metallic";"Polska";"Francja";"manualna"
8900;"PLN";8900;NA;NA;"Ford";"Focus";"Mk1";"4/5";1600;140000;"benzyna";2001;"granatowy-metallic";"";"";"manualna"
31800;"PLN";31800;100;74;"Opel";"Astra";"III";"4/5";1686;120000;"olej napedowy (diesel)";2007;"niebieski-metallic";"Polska";"Polska";"manualna"
23900;"PLN";23900;90;66;"Opel";"Astra";"III";"4/5";1248;34027;"olej napedowy (diesel)";2009;"czarny-metallic";"";"Belgia";"manualna"
44900;"PLN";44900;NA;NA;"Renault";"Trafic";"";"";2000;205490;"olej napedowy (diesel)";2008;"bialy";"Polska";"";"manualna"
72400;"PLN";72400;140;103;"Renault";"Laguna";"III";"4/5";1997;NA;"benzyna";2011;"bezowy-metallic";"";"";"manualna"
16300;"PLN";16300;125;92;"Opel";"Vectra";"B";"4/5";2171;180000;"olej napedowy (diesel)";2001;"bordowy";"Polska";"";"manualna"
10700;"PLN";10700;60;44;"Renault";"Clio";"II";"2/3";1200;150000;"benzyna";2006;"granatowy";"Polska";"Polska";"manualna"
16900;"PLN";16900;125;92;"Opel";"Vectra";"C";"4/5";2171;198000;"olej napedowy (diesel)";2002;"srebrny-metallic";"";"";"automatyczna"
4000;"PLN";4000;90;66;"Renault";"Megane";"I";"4/5";1600;154000;"benzyna";1996;"czerwony";"";"Niemcy";"manualna"
6100;"PLN";6100;125;92;"Ford";"Puma";"";"2/3";1600;80000;"benzyna";1998;"czarny";"";"Szwajcaria";"manualna"
18900;"PLN";18900;120;88;"Renault";"Laguna";"II";"4/5";1870;180000;"olej napedowy (diesel)";2004;"niebieski-metallic";"Polska";"";"manualna"
13999;"PLN";13999;101;74;"Opel";"Zafira";"A";"4/5";2000;180000;"olej napedowy (diesel)";2001;"granatowy-metallic";"";"Niemcy";"manualna"
30400;"PLN";30400;115;85;"Ford";"Focus";"Mk2";"4/5";1599;34000;"benzyna";2009;"";"";"Niemcy";"manualna"
6300;"PLN";6300;65;48;"Opel";"Corsa";"B";"2/3";1200;134000;"benzyna";1999;"niebieski";"";"";"manualna"
259000;"CZK";44314,9;125;92;"Opel";"Zafira";"";"4/5";1686;128142;"olej napedowy (diesel)";2008;"czarny";"";"Francja";"manualna"
1000;"PLN";1000;NA;NA;"Renault";"Laguna";"I";"4/5";1800;NA;"benzyna+LPG";1996;"srebrny-metallic";"Polska";"Polska";"manualna"
39900;"CZK";6826,89;75;55;"Renault";"Twingo";"";"2/3";1149;174500;"benzyna";2002;"niebieski";"";"Czechy";"manualna"
8900;"PLN";8900;68;50;"Opel";"Astra";"II";"4/5";1700;200100;"olej napedowy (diesel)";1999;"";"Polska";"Niemcy";"manualna"
3000;"PLN";3000;NA;NA;"Ford";"Focus";"Mk1";"2/3";NA;102158;"benzyna";2001;"czarny-metallic";"";"Wielka Brytania";"manualna"
29900;"PLN";29900;100;74;"Opel";"Astra";"III";"4/5";1686;118300;"olej napedowy (diesel)";2007;"srebrny-metallic";"Polska";"Polska";"manualna"
47000;"PLN";47000;115;85;"Opel";"Astra";"III";"4/5";1598;4000;"benzyna";2011;"grafitowy-metallic";"Polska";"Polska";"manualna"
5900;"PLN";5900;NA;NA;"Opel";"Corsa";"B";"4/5";1400;150000;"benzyna";1993;"bordowy-metallic";"Szwajcaria";"Szwajcaria";"automatyczna"
8999;"PLN";8999;58;43;"Renault";"Twingo";"";"2/3";1149;92000;"benzyna";2006;"niebieski";"";"Niemcy";"manualna"
4990;"PLN";4990;NA;NA;"Opel";"Astra";"I";"4/5";1600;NA;"benzyna";1996;"granatowy";"";"";"manualna"
13200;"PLN";13200;100;74;"Opel";"Astra";"II";"4/5";1995;NA;"olej napedowy (diesel)";2001;"czarny-metallic";"Polska";"";"manualna"
3600;"PLN";3600;170;125;"Renault";"Laguna";"I";"4/5";3000;222058;"benzyna+LPG";1996;"szary-metallic";"Polska";"Niemcy";"automatyczna"
18000;"PLN";18000;100;74;"Opel";"Astra";"III";"4/5";1900;174000;"olej napedowy (diesel)";2006;"niebieski-metallic";"Holandia";"";"manualna"
21900;"PLN";21900;80;59;"Opel";"Astra";"III";"4/5";1686;117000;"olej napedowy (diesel)";2004;"srebrny-metallic";"";"";"manualna"
19000;"PLN";19000;NA;NA;"Opel";"Meriva";"";"4/5";1700;NA;"olej napedowy (diesel)";2005;"srebrny-metallic";"";"";"manualna"
129000;"CZK";22071,9;98;72;"Renault";"Megane";"";"4/5";1390;54000;"benzyna";2005;"srebrny-metallic";"";"";"manualna"
22000;"PLN";22000;101;74;"Opel";"Vectra";"C";"4/5";2000;183000;"olej napedowy (diesel)";2004;"czarny-metallic";"Polska";"Belgia";"manualna"
11900;"PLN";11900;125;92;"Opel";"Vectra";"B";"4/5";1995;136000;"olej napedowy (diesel)";2002;"srebrny-metallic";"";"";"manualna"
1750;"PLN";1750;90;66;"Opel";"Astra";"I";"4/5";1389;175000;"benzyna";1996;"";"Polska";"";"manualna"
35700;"PLN";35700;110;81;"Ford";"C-MAX";"";"4/5";1600;116000;"olej napedowy (diesel)";2008;"srebrny-metallic";"";"";"manualna"
8500;"PLN";8500;55;40;"Opel";"Corsa";"C";"2/3";1000;161000;"benzyna";2000;"zielony-metallic";"";"Niemcy";"manualna"
26600;"PLN";26600;100;74;"Opel";"Astra";"III";"4/5";NA;87000;"olej napedowy (diesel)";2008;"srebrny-metallic";"";"Francja";"manualna"
20000;"PLN";20000;160;118;"Opel";"Insignia";"";"4/5";2000;22000;"olej napedowy (diesel)";2010;"czarny";"";"Francja";"manualna"
19000;"PLN";19000;125;92;"Opel";"Zafira";"A";"4/5";2172;164000;"olej napedowy (diesel)";2002;"srebrny-metallic";"Francja";"Francja";"manualna"
24900;"PLN";24900;68;50;"Renault";"Clio";"III";"4/5";1461;82000;"olej napedowy (diesel)";2006;"";"";"";"manualna"
89999;"PLN";89999;178;131;"Renault";"Laguna";"III";"2/3";1995;16000;"olej napedowy (diesel)";2009;"";"Polska";"Polska";"manualna"
1350;"PLN";1350;75;55;"Opel";"Astra";"I";"4/5";1598;246616;"benzyna";1992;"bialy";"Polska";"Polska";"manualna"
38500;"PLN";38500;180;132;"Renault";"Megane";"III";"2/3";1998;9485;"benzyna";2010;"bialy";"Polska";"Niemcy";"manualna"
89000;"CZK";15227,9;136;100;"Ford";"Focus";"";"4/5";1997;85000;"olej napedowy (diesel)";2005;"czerwony";"";"Niemcy";"manualna"
11500;"PLN";11500;NA;NA;"Opel";"Corsa";"C";"4/5";1000;118000;"benzyna";2003;"bialy";"";"";"manualna"
12900;"PLN";12900;68;50;"Ford";"Fiesta";"Mk6";"2/3";1399;123000;"olej napedowy (diesel)";2003;"bordowy-metallic";"";"Niemcy";"manualna"
45000;"CZK";7699,5;90;66;"Ford";"Puma";"";"2/3";1388;98000;"benzyna";1999;"zielony-metallic";"";"";"manualna"
14900;"PLN";14900;130;96;"Renault";"Megane";"II";"2/3";1900;140000;"olej napedowy (diesel)";2007;"zloty-metallic";"";"Francja";"automatyczna"
20900;"PLN";20900;90;66;"Ford";"Transit Connect";"";"4/5";1800;109000;"olej napedowy (diesel)";2005;"bialy";"";"";"manualna"
1950;"PLN";1950;NA;NA;"Ford";"Escort";"Mk7";"4/5";1600;NA;"olej napedowy (diesel)";1989;"";"";"";"manualna"
40900;"PLN";40900;175;129;"Renault";"Grand Espace";"";"4/5";2000;90000;"olej napedowy (diesel)";2008;"";"Polska";"";"manualna"
39500;"PLN";39500;170;125;"Renault";"Vel Satis";"";"4/5";1998;153000;"benzyna";2008;"grafitowy-metallic";"Polska";"Francja";"manualna"
24900;"PLN";24900;125;92;"Opel";"Meriva";"";"4/5";1686;148000;"olej napedowy (diesel)";2007;"niebieski-metallic";"";"Wlochy";"manualna"
6500;"PLN";6500;120;88;"Renault";"Laguna";"II";"4/5";1900;NA;"olej napedowy (diesel)";2001;"czarny-metallic";"";"Niemcy";"manualna"
28900;"PLN";28900;125;92;"Opel";"Corsa";"D";"4/5";1700;NA;"olej napedowy (diesel)";2007;"";"";"Niemcy";"manualna"
12900;"PLN";12900;125;92;"Opel";"Vectra";"B";"4/5";2171;198000;"olej napedowy (diesel)";2002;"szary-metallic";"Polska";"Niemcy";"manualna"
27900;"PLN";27900;101;74;"Opel";"Astra";"III";"4/5";1900;164000;"olej napedowy (diesel)";2006;"srebrny-metallic";"";"Niemcy";"manualna"
11900;"PLN";11900;110;81;"Renault";"Scenic";"I";"4/5";1598;197000;"benzyna";2000;"";"";"";"manualna"
87750;"PLN";87750;140;103;"Ford";"Mondeo";"Mk4";"4/5";1997;NA;"olej napedowy (diesel)";2011;"grafitowy-metallic";"";"";"manualna"
4200;"PLN";4200;75;55;"Renault";"Kangoo";"I";"4/5";1390;NA;"benzyna";1998;"niebieski";"Polska";"";"manualna"
7900;"PLN";7900;107;79;"Renault";"Scenic";"I";"4/5";1600;169000;"benzyna";1999;"bordowy-metallic";"";"Niemcy";"manualna"
22600;"PLN";22600;100;74;"Opel";"Vectra";"C";"4/5";1994;177000;"olej napedowy (diesel)";2003;"srebrny-metallic";"Polska";"Niemcy";"manualna"
31800;"PLN";31800;NA;NA;"Opel";"Zafira";"B";"4/5";1900;139000;"olej napedowy (diesel)";2006;"czarny-metallic";"";"";"manualna"
26400;"PLN";26400;68;50;"Renault";"Clio";"III";"4/5";1461;35000;"olej napedowy (diesel)";2009;"czarny-metallic";"Polska";"Francja";"manualna"
14900;"PLN";14900;101;74;"Opel";"Zafira";"A";"4/5";1995;195000;"olej napedowy (diesel)";2001;"srebrny-metallic";"";"Holandia";"manualna"
17500;"PLN";17500;75;55;"Renault";"Twingo";"";"2/3";1149;28000;"benzyna";2008;"";"";"";"manualna"
284900;"CZK";48746,39;101;74;"Ford";"Focus C-Max";"";"4/5";1596;56000;"benzyna";2008;"brezowy-metallic";"";"";"manualna"
24500;"PLN";24500;211;155;"Opel";"Signum";"";"4/5";3200;245000;"benzyna";2003;"szary-metallic";"Polska";"";"automatyczna"
80000;"CZK";13688;120;88;"Renault";"Megane";"";"4/5";1870;185000;"olej napedowy (diesel)";2003;"bialy";"Czechy";"Francja";"manualna"
2400;"EUR";10600,32;NA;NA;"Opel";"Meriva";"";"4/5";1600;43000;"benzyna";2007;"szary-metallic";"";"";"manualna"
31500;"PLN";31500;110;81;"Ford";"Transit";"";"";2198;148000;"olej napedowy (diesel)";2007;"bialy";"";"Francja";"manualna"
16200;"PLN";16200;NA;NA;"Opel";"Corsa";"C";"2/3";1400;83000;"benzyna";2006;"granatowy";"Polska";"Polska";"manualna"
21300;"PLN";21300;100;74;"Opel";"Meriva";"";"4/5";1700;119000;"olej napedowy (diesel)";2006;"srebrny-metallic";"";"Niemcy";"manualna"
20600;"PLN";20600;100;74;"Opel";"Combo";"";"4/5";1700;187000;"olej napedowy (diesel)";2005;"niebieski-metallic";"Polska";"";"manualna"
16900;"PLN";16900;90;66;"Opel";"Astra";"II";"4/5";1364;169000;"benzyna";2008;"granatowy";"Polska";"Polska";"manualna"
13900;"PLN";13900;NA;NA;"Ford";"Mondeo";"Mk3";"4/5";NA;NA;"olej napedowy (diesel)";2001;"czarny";"Polska";"Niemcy";"manualna"
25900;"PLN";25900;100;74;"Opel";"Astra";"III";"4/5";1700;105100;"olej napedowy (diesel)";2005;"srebrny-metallic";"Polska";"";"manualna"
7600;"PLN";7600;75;55;"Ford";"Fiesta";"Mk5";"4/5";1753;168000;"olej napedowy (diesel)";2001;"";"Niemcy";"Niemcy";"manualna"
43800;"PLN";43800;100;74;"Renault";"Megane";"III";"4/5";1500;15000;"olej napedowy (diesel)";2010;"srebrny-metallic";"Polska";"Polska";"manualna"
45500;"PLN";45500;140;103;"Ford";"S-Max";"";"4/5";1997;107727;"olej napedowy (diesel)";2007;"";"";"";"manualna"
164500;"CZK";28145,95;136;100;"Ford";"Focus C-Max";"";"4/5";1997;112600;"olej napedowy (diesel)";2005;"czarny-metallic";"";"Niemcy";"manualna"
19899;"PLN";19899;115;85;"Ford";"Mondeo";"Mk3";"4/5";1998;220600;"olej napedowy (diesel)";2004;"srebrny-metallic";"";"";"manualna"
8400;"PLN";8400;110;81;"Renault";"Laguna";"II";"4/5";1598;180000;"benzyna";2001;"srebrny-metallic";"Polska";"";"manualna"
148000;"CZK";25322,8;116;85;"Ford";"Focus";"";"4/5";1596;133194;"benzyna";2005;"srebrny-metallic";"";"Niemcy";"manualna"
6500;"PLN";6500;60;44;"Opel";"Corsa";"B";"4/5";1389;120000;"benzyna";1997;"czarny";"Polska";"Niemcy";"manualna"
24500;"PLN";24500;101;74;"Opel";"Astra";"III";"4/5";1900;166000;"olej napedowy (diesel)";2007;"granatowy-metallic";"";"Niemcy";"manualna"
69900;"PLN";69900;160;118;"Opel";"Insignia";"";"4/5";2000;121000;"olej napedowy (diesel)";2009;"zielony-metallic";"Polska";"Niemcy";"manualna"
5200;"PLN";5200;95;70;"Renault";"Megane";"I";"4/5";1400;138000;"benzyna";1999;"granatowy";"Polska";"Polska";"manualna"
65800;"PLN";65800;201;148;"Renault";"Clio";"III";"2/3";2000;7000;"benzyna";2010;"niebieski";"";"";"manualna"
3490;"PLN";3490;136;100;"Ford";"Scorpio";"Mk2";"4/5";2000;155000;"benzyna";1995;"zielony-metallic";"Polska";"";"manualna"
7900;"PLN";7900;75;55;"Ford";"Focus";"Mk1";"4/5";1753;176000;"olej napedowy (diesel)";2001;"";"";"Niemcy";"manualna"
13000;"PLN";13000;81;60;"Renault";"Clio";"II";"4/5";1461;164000;"olej napedowy (diesel)";2003;"zielony-metallic";"Polska";"Niemcy";"manualna"
29500;"PLN";29500;NA;NA;"Renault";"Clio";"III";"4/5";1500;37000;"olej napedowy (diesel)";2010;"szary-metallic";"Francja";"Francja";"manualna"
25500;"PLN";25500;150;110;"Opel";"Vectra";"C";"4/5";1910;168000;"olej napedowy (diesel)";2005;"niebieski-metallic";"Polska";"Polska";"manualna"
6300;"PLN";6300;110;81;"Renault";"Megane";"I";"4/5";1590;154000;"benzyna";1999;"srebrny-metallic";"Polska";"Niemcy";"manualna"
28900;"PLN";28900;125;92;"Opel";"Meriva";"";"4/5";1700;NA;"olej napedowy (diesel)";2008;"grafitowy-metallic";"";"Holandia";"manualna"
193325;"CZK";33077,9075;131;96;"Ford";"Mondeo";"";"4/5";1997;133192;"olej napedowy (diesel)";2008;"";"";"";"automatyczna"
9900;"PLN";9900;82;60;"Opel";"Astra";"II";"2/3";1600;149000;"benzyna";1999;"niebieski-metallic";"";"Niemcy";"manualna"
18500;"PLN";18500;68;50;"Ford";"Fiesta";"Mk6";"2/3";1399;97000;"olej napedowy (diesel)";2006;"srebrny-metallic";"Polska";"Niemcy";"manualna"
24900;"PLN";24900;105;77;"Opel";"Astra";"III";"4/5";1598;139000;"benzyna";2004;"czarny-metallic";"Polska";"Niemcy";"manualna"
12900;"PLN";12900;80;59;"Ford";"Fusion";"";"4/5";1388;151000;"benzyna";2003;"srebrny-metallic";"";"";"manualna"
19700;"PLN";19700;90;66;"Opel";"Astra";"II";"4/5";1364;115000;"benzyna";2006;"";"Polska";"Polska";"manualna"
22000;"PLN";22000;90;66;"Ford";"Focus";"Mk2";"4/5";1560;195000;"olej napedowy (diesel)";2007;"srebrny-metallic";"Polska";"Polska";"manualna"
15999;"PLN";15999;70;51;"Opel";"Combo";"";"4/5";1248;232000;"olej napedowy (diesel)";2004;"granatowy";"Polska";"Niemcy";"manualna"
33900;"PLN";33900;115;85;"Opel";"Astra";"III";"4/5";1598;97200;"benzyna";2009;"grafitowy-metallic";"";"Polska";"manualna"
39500;"PLN";39500;100;74;"Renault";"Megane";"III";"4/5";1598;25000;"benzyna";2010;"szary-metallic";"Polska";"Polska";"manualna"
45900;"PLN";45900;125;92;"Ford";"S-Max";"";"4/5";1800;144000;"olej napedowy (diesel)";2007;"srebrny-metallic";"";"";"manualna"
39900;"CZK";6826,89;170;125;"Opel";"Omega";"";"4/5";2498;165000;"benzyna";1998;"niebieski-metallic";"";"";"manualna"
13300;"PLN";13300;80;59;"Ford";"Fiesta";"Mk6";"4/5";1388;131000;"benzyna";2002;"czarny-metallic";"";"Niemcy";"manualna"
16400;"PLN";16400;150;110;"Opel";"Vectra";"C";"4/5";1910;175400;"olej napedowy (diesel)";2004;"srebrny-metallic";"Niemcy";"Niemcy";"manualna"
12900;"PLN";12900;75;55;"Opel";"Corsa";"C";"2/3";1700;126000;"olej napedowy (diesel)";2003;"grafitowy-metallic";"Polska";"Niemcy";"manualna"
12400;"PLN";12400;75;55;"Opel";"Corsa";"C";"4/5";1686;164000;"olej napedowy (diesel)";2001;"granatowy-metallic";"";"";"manualna"
16990;"PLN";16990;115;85;"Ford";"Focus";"Mk1";"2/3";1753;227000;"olej napedowy (diesel)";2003;"granatowy-metallic";"Polska";"Niemcy";"manualna"
75000;"CZK";12832,5;75;55;"Opel";"Astra";"";"4/5";1690;122000;"olej napedowy (diesel)";2001;"srebrny-metallic";"";"Wlochy";""
13000;"CZK";2224,3;54;40;"Opel";"Corsa";"";"4/5";1389;83773;"benzyna";1997;"zielony-metallic";"";"Austria";"manualna"
62900;"PLN";62900;115;85;"Opel";"Vivaro";"";"4/5";1995;103000;"olej napedowy (diesel)";2009;"srebrny-metallic";"";"";"manualna"
27600;"PLN";27600;NA;NA;"Opel";"Astra";"III";"4/5";1900;NA;"olej napedowy (diesel)";2006;"srebrny";"";"Niemcy";""
102000;"PLN";102000;140;103;"Ford";"Kuga";"";"4/5";1998;8500;"olej napedowy (diesel)";2011;"czarny-metallic";"Polska";"Polska";"manualna"
13500;"PLN";13500;68;50;"Ford";"Fiesta";"Mk6";"2/3";1399;80000;"olej napedowy (diesel)";2008;"bialy";"";"Francja";"manualna"
12500;"PLN";12500;100;74;"Ford";"Focus";"Mk1";"4/5";1800;172000;"olej napedowy (diesel)";2003;"szary-metallic";"Polska";"Polska";"manualna"
18300;"PLN";18300;125;92;"Opel";"Signum";"";"4/5";2200;217000;"olej napedowy (diesel)";2003;"srebrny-metallic";"Polska";"Polska";"automatyczna"
24500;"PLN";24500;90;66;"Opel";"Astra";"III";"4/5";1248;139000;"olej napedowy (diesel)";2008;"srebrny-metallic";"Polska";"Polska";"manualna"
29899;"PLN";29899;140;103;"Opel";"Vectra";"C";"4/5";1796;98000;"benzyna";2006;"niebieski-metallic";"";"";"manualna"
10800;"PLN";10800;98;72;"Renault";"Scenic";"I";"4/5";1900;169000;"olej napedowy (diesel)";2000;"grafitowy-metallic";"";"";"manualna"
8900;"PLN";8900;150;110;"Opel";"Omega";"B FL";"4/5";2200;211000;"benzyna";2001;"srebrny-metallic";"Polska";"";"manualna"
20900;"PLN";20900;100;74;"Opel";"Astra";"III";"4/5";1686;129000;"olej napedowy (diesel)";2004;"czarny";"";"";"manualna"
27999;"PLN";27999;75;55;"Renault";"Clio";"III";"4/5";1149;45000;"benzyna";2006;"bezowy-metallic";"Polska";"Polska";"manualna"
18900;"PLN";18900;115;85;"Ford";"Galaxy";"Mk2";"4/5";1900;240000;"olej napedowy (diesel)";2000;"zielony-metallic";"";"";"manualna"
13499;"PLN";13499;101;74;"Opel";"Zafira";"A";"4/5";2000;177000;"olej napedowy (diesel)";2000;"szary-metallic";"Polska";"Niemcy";"manualna"
16400;"PLN";16400;101;74;"Opel";"Zafira";"A";"4/5";2000;104000;"olej napedowy (diesel)";2002;"srebrny-metallic";"";"Francja";"manualna"
129000;"CZK";22071,9;101;74;"Renault";"Megane";"";"4/5";1461;144000;"olej napedowy (diesel)";2005;"";"";"Belgia";"manualna"
30900;"PLN";30900;116;85;"Opel";"Astra";"III";"2/3";1600;46000;"benzyna";2008;"czarny-metallic";"";"";"manualna"
12900;"PLN";12900;100;74;"Opel";"Zafira";"A";"4/5";2000;178000;"olej napedowy (diesel)";2001;"srebrny-metallic";"";"Niemcy";"manualna"
7999;"PLN";7999;98;72;"Renault";"Megane";"I";"4/5";1870;NA;"olej napedowy (diesel)";2001;"granatowy-metallic";"Polska";"Polska";"manualna"
21900;"PLN";21900;125;92;"Opel";"Vectra";"C";"4/5";2171;82000;"olej napedowy (diesel)";2004;"granatowy-metallic";"Polska";"Polska";""
139000;"CZK";23782,9;150;110;"Renault";"Espace";"";"4/5";2188;147200;"olej napedowy (diesel)";2003;"";"";"";"manualna"
19900;"PLN";19900;90;66;"Opel";"Astra";"III";"4/5";1300;143000;"olej napedowy (diesel)";2005;"srebrny-metallic";"";"Belgia";"manualna"
6e+05;"CZK";102660;213;157;"Ford";"Mustang";"";"2/3";4009;32180;"benzyna";2010;"niebieski-metallic";"";"Stany Zjednoczone";""
15000;"PLN";15000;120;88;"Renault";"Megane";"II";"4/5";1900;NA;"olej napedowy (diesel)";2004;"srebrny-metallic";"Niemcy";"";"manualna"
