"Name","Codename","Cores","Socket","Process","Clock","Multi","Voltage","Cache.L1.L2.L3","TDP","Released","Manufacturer","Classification"
"Pentium 4 506","Prescott","1-Core","Intel Socket 775","90 nm","2660 MHz","20.0x","1.4 V","16K / 1024K / 0K","84W","Jun 2005","INTEL","Desktop"
"Pentium 4 506","Prescott","1-Core","Intel Socket 775","90 nm","2660 MHz","20.0x","1.4 V","16K / 1024K / 0K","84W","Jun 2005","INTEL","Desktop"
"Pentium 4 HT 670","Prescott","1-Core","Intel Socket 775","90 nm","3800 MHz","19.0x","1.388 V","28K / 2048K / 0K","84W","May 2005","INTEL","Desktop"
"Pentium D 830","Smithfield","2-Core","Intel Socket 775","90 nm","3000 MHz","15.0x","1.4 V","28K / 2048K / 0K","130W","May 2005","INTEL","Desktop"
"Pentium D 820","Smithfield","2-Core","Intel Socket 775","90 nm","2800 MHz","14.0x","1.4 V","28K / 2048K / 0K","130W","May 2005","INTEL","Desktop"
"Pentium D 840","Smithfield","2-Core","Intel Socket 775","90 nm","3200 MHz","15.0x","1.4 V","28K / 2048K / 0K","130W","May 2005","INTEL","Desktop"
"Pentium D 820","Smithfield","2-Core","Intel Socket 775","90 nm","2800 MHz","14.0x","1.4 V","28K / 2048K / 0K","130W","May 2005","INTEL","Desktop"
"Pentium D 840 EE","Smithfield","2-Core","Intel Socket 775","90 nm","3200 MHz","16.0x","1.4 V","28K / 2048K / 0K","130W","May 2005","INTEL","Desktop"
"Pentium 4 HT EE 3.73","Prescott","1-Core","Intel Socket 775","90 nm","3733 MHz","14.0x","1.388 V","16K / 2048K / 0K","115W","Feb 2005","INTEL","Desktop"
"Pentium 4 HT 630","Prescott","1-Core","Intel Socket 775","90 nm","3000 MHz","15.0x","1.388 V","28K / 2048K / 0K","84W","Feb 2005","INTEL","Desktop"
"Pentium 4 HT 640","Prescott","1-Core","Intel Socket 775","90 nm","3200 MHz","16.0x","1.388 V","28K / 2048K / 0K","84W","Feb 2005","INTEL","Desktop"
"Pentium 4 HT 650","Prescott","1-Core","Intel Socket 775","90 nm","3400 MHz","17.0x","1.388 V","28K / 2048K / 0K","84W","Feb 2005","INTEL","Desktop"
"Pentium 4 HT 660","Prescott","1-Core","Intel Socket 775","90 nm","3600 MHz","18.0x","1.388 V","28K / 2048K / 0K","84W","Feb 2005","INTEL","Desktop"
"Pentium 4 HT 620","Prescott","1-Core","Intel Socket 775","90 nm","2800 MHz","14.0x","1.388 V","28K / 2048K / 0K","84W","Feb 2005","INTEL","Desktop"
"Pentium 4 511","Prescott","1-Core","Intel Socket 775","90 nm","2800 MHz","21.0x","1.4 V","16K / 1024K / 0K","84W","Jan 2005","INTEL","Desktop"
"Pentium 4 511","Prescott","1-Core","Intel Socket 775","90 nm","2800 MHz","21.0x","1.4 V","16K / 1024K / 0K","84W","Jan 2005","INTEL","Desktop"
"Pentium 4 511","Prescott","1-Core","Intel Socket 775","90 nm","2800 MHz","21.0x","1.4 V","16K / 1024K / 0K","84W","Jan 2005","INTEL","Desktop"
"Pentium 4 519K","Prescott","1-Core","Intel Socket 775","90 nm","3060 MHz","23.0x","1.4 V","16K / 1024K / 0K","84W","Jan 2005","INTEL","Desktop"
"Pentium 4 519K","Prescott","1-Core","Intel Socket 775","90 nm","3060 MHz","23.0x","1.4 V","16K / 1024K / 0K","84W","Jan 2005","INTEL","Desktop"
"Pentium 4 505","Prescott","1-Core","Intel Socket 775","90 nm","2660 MHz","20.0x","1.388 V","16K / 1024K / 0K","84W","Dec 2004","INTEL","Desktop"
"Pentium 4 505J","Prescott","1-Core","Intel Socket 775","90 nm","2660 MHz","20.0x","1.388 V","16K / 1024K / 0K","84W","Dec 2004","INTEL","Desktop"
"Pentium 4 519","Prescott","1-Core","Intel Socket 775","90 nm","3060 MHz","23.0x","1.388 V","16K / 1024K / 0K","84W","Dec 2004","INTEL","Desktop"
"Pentium 4 HT EE 3.46","Gallatin","1-Core","Intel Socket 775","130 nm","3460 MHz","13.0x","1.525 V","8K / 512K / 2048K","110W","Oct 2004","INTEL","Desktop"
"Celeron D 346","Prescott","1-Core","Intel Socket 775","90 nm","3060 MHz","23.0x","1.4 V","16K / 256K / 0K","73W","Oct 2004","INTEL","Desktop"
"Celeron D 340","Prescott","1-Core","Intel Socket 775","90 nm","2930 MHz","19.0x","1.4 V","16K / 256K / 0K","84W","Sep 2004","INTEL","Desktop"
"Celeron D 341","Prescott","1-Core","Intel Socket 775","90 nm","2930 MHz","22.0x","1.4 V","16K / 256K / 0K","84W","Sep 2004","INTEL","Desktop"
"Celeron D 326","Prescott","1-Core","Intel Socket 775","90 nm","2530 MHz","19.0x","1.4 V","16K / 256K / 0K","73W","Sep 2004","INTEL","Desktop"
"Pentium 4 HT 3.6E","Prescott","1-Core","Intel Socket 478","90 nm","3600 MHz","18.0x","1.425 V","16K / 1024K / 0K","115W","Aug 2004","INTEL","Desktop"
"Celeron D 335","Prescott","1-Core","Intel Socket 478","90 nm","2800 MHz","21.0x","1.4 V","16K / 256K / 0K","84W","Jun 2004","INTEL","Desktop"
"Celeron D 330","Prescott","1-Core","Intel Socket 775","90 nm","2667 MHz","20.0x","1.4 V","16K / 256K / 0K","84W","Jun 2004","INTEL","Desktop"
"Celeron D 325","Prescott","1-Core","Intel Socket 775","90 nm","2533 MHz","19.0x","1.4 V","16K / 256K / 0K","73W","Jun 2004","INTEL","Desktop"
"Celeron D 335","Prescott","1-Core","Intel Socket 478","90 nm","2800 MHz","21.0x","1.4 V","16K / 256K / 0K","84W","Jun 2004","INTEL","Desktop"
"Pentium 4 HT 560","Prescott","1-Core","Intel Socket 775","90 nm","3600 MHz","18.0x","1.425 V","16K / 1024K / 0K","115W","Jun 2004","INTEL","Desktop"
"Pentium 4 HT 550","Prescott","1-Core","Intel Socket 775","90 nm","3400 MHz","17.0x","1.425 V","16K / 1024K / 0K","115W","Jun 2004","INTEL","Desktop"
"Pentium 4 HT 540","Prescott","1-Core","Intel Socket 775","90 nm","3200 MHz","16.0x","1.425 V","16K / 1024K / 0K","84W","Jun 2004","INTEL","Desktop"
"Pentium 4 HT 530","Prescott","1-Core","Intel Socket 775","90 nm","3000 MHz","15.0x","1.425 V","16K / 1024K / 0K","84W","Jun 2004","INTEL","Desktop"
"Pentium 4 HT 520","Prescott","1-Core","Intel Socket 775","90 nm","2800 MHz","14.0x","1.425 V","16K / 1024K / 0K","84W","Jun 2004","INTEL","Desktop"
"Pentium 4 HT 570","Prescott","1-Core","Intel Socket 775","90 nm","3800 MHz","19.0x","1.425 V","16K / 1024K / 0K","115W","Jun 2004","INTEL","Desktop"
"Pentium 4 HT EE 3.40","Gallatin","1-Core","Intel Socket 478","130 nm","3400 MHz","17.0x","1.525 V","8K / 512K / 2048K","110W","Jun 2004","INTEL","Desktop"
"Pentium 4 HT 520","Prescott","1-Core","Intel Socket 775","90 nm","2800 MHz","21.0x","1.4 V","16K / 1024K / 0K","84W","Jun 2004","INTEL","Desktop"
"Pentium 4 HT 520","Prescott","1-Core","Intel Socket 775","90 nm","2800 MHz","21.0x","1.4 V","16K / 1024K / 0K","84W","Jun 2004","INTEL","Desktop"
"Pentium 4 HT 520","Prescott","1-Core","Intel Socket 775","90 nm","2933 MHz","22.0x","1.4 V","16K / 1024K / 0K","84W","Jun 2004","INTEL","Desktop"
"Pentium 4 HT 3.4E","Prescott","1-Core","Intel Socket 478","90 nm","3400 MHz","17.0x","1.425 V","16K / 1024K / 0K","115W","Apr 2004","INTEL","Desktop"
"Pentium 4 2.40","Prescott","1-Core","Intel Socket 478","90 nm","2400 MHz","18.0x","1.525 V","16K / 1024K / 0K","110W","Mar 2004","INTEL","Desktop"
"Pentium 4 HT EE 3.40","Gallatin","1-Core","Intel Socket 775","130 nm","3400 MHz","17.0x","1.525 V","8K / 512K / 2048K","110W","Feb 2004","INTEL","Desktop"
"Pentium 4 HT 3.40","Northwood","1-Core","Intel Socket 478","130 nm","3400 MHz","17.0x","1.4 V","8K / 512K / 0K","89W","Feb 2004","INTEL","Desktop"
"Pentium 4 HT 3.2E","Prescott","1-Core","Intel Socket 478","90 nm","3200 MHz","16.0x","1.425 V","16K / 1024K / 0K","115W","Feb 2004","INTEL","Desktop"
"Pentium 4 HT 3.0E","Prescott","1-Core","Intel Socket 478","90 nm","3000 MHz","15.0x","1.425 V","16K / 1024K / 0K","115W","Feb 2004","INTEL","Desktop"
"Pentium 4 HT 2.8E","Prescott","1-Core","Intel Socket 478","90 nm","2800 MHz","14.0x","1.425 V","16K / 1024K / 0K","115W","Feb 2004","INTEL","Desktop"
"Pentium 4 HT EE 3.20","Gallatin","1-Core","Intel Socket 478","130 nm","3200 MHz","16.0x","1.525 V","8K / 512K / 2048K","110W","Nov 2003","INTEL","Desktop"
"Celeron 2.80","Northwood","1-Core","Intel Socket 478","130 nm","2800 MHz","28.0x","1.55 V","8K / 128K / 0K","73W","Nov 2003","INTEL","Desktop"
"Celeron 2.70","Northwood","1-Core","Intel Socket 478","130 nm","2700 MHz","27.0x","1.55 V","8K / 128K / 0K","73W","Sep 2003","INTEL","Desktop"
"Celeron 2.60","Northwood","1-Core","Intel Socket 478","130 nm","2600 MHz","26.0x","1.55 V","8K / 128K / 0K","73W","Jun 2003","INTEL","Desktop"
"Pentium 4 HT 3.20","Northwood","1-Core","Intel Socket 478","130 nm","3200 MHz","16.0x","1.4 V","8K / 512K / 0K","82W","Jun 2003","INTEL","Desktop"
"Pentium 4 HT 3.06","Northwood","1-Core","Intel Socket 478","130 nm","3060 MHz","23.0x","1.5 V","8K / 512K / 0K","110W","Jun 2003","INTEL","Desktop"
"Pentium 4 HT 2.80","Northwood","1-Core","Intel Socket 478","130 nm","2800 MHz","14.0x","1.4 V","8K / 512K / 0K","70W","May 2003","INTEL","Desktop"
"Pentium 4 HT 2.60","Northwood","1-Core","Intel Socket 478","130 nm","2600 MHz","13.0x","1.5 V","8K / 512K / 0K","69W","May 2003","INTEL","Desktop"
"Pentium 4 HT 2.40","Northwood","1-Core","Intel Socket 478","130 nm","2400 MHz","12.0x","1.4 V","8K / 512K / 0K","66W","May 2003","INTEL","Desktop"
"Pentium 4 HT 3.00","Northwood","1-Core","Intel Socket 478","130 nm","3000 MHz","15.0x","1.4 V","8K / 512K / 0K","82W","Apr 2003","INTEL","Desktop"
"Celeron 2.40","Northwood","1-Core","Intel Socket 478","130 nm","2400 MHz","24.0x","1.55 V","8K / 128K / 0K","73W","Mar 2003","INTEL","Desktop"
"Celeron 2.30","Northwood","1-Core","Intel Socket 478","130 nm","2300 MHz","23.0x","1.55 V","8K / 128K / 0K","73W","Mar 2003","INTEL","Desktop"
"Celeron 2.20","Northwood","1-Core","Intel Socket 478","130 nm","2200 MHz","22.0x","1.55 V","8K / 128K / 0K","73W","Nov 2002","INTEL","Desktop"
"Celeron 2.10","Northwood","1-Core","Intel Socket 478","130 nm","2100 MHz","21.0x","1.55 V","8K / 128K / 0K","73W","Nov 2002","INTEL","Desktop"
"Celeron 2.0","Northwood","1-Core","Intel Socket 478","130 nm","2000 MHz","20.0x","1.55 V","8K / 128K / 0K","73W","Sep 2002","INTEL","Desktop"
"Celeron 2.0","Northwood","1-Core","Intel Socket 478","130 nm","2000 MHz","20.0x","1.55 V","8K / 128K / 0K","73W","Sep 2002","INTEL","Desktop"
"Pentium 4 2.80","Northwood","1-Core","Intel Socket 478","130 nm","2793 MHz","21.0x","1.5 V","8K / 512K / 0K","110W","Aug 2002","INTEL","Desktop"
"Pentium 4 2.66","Northwood","1-Core","Intel Socket 478","130 nm","2660 MHz","20.0x","1.5 V","8K / 512K / 0K","110W","Aug 2002","INTEL","Desktop"
"Pentium 4 2.60","Northwood","1-Core","Intel Socket 478","130 nm","2600 MHz","26.0x","1.5 V","8K / 512K / 0K","92W","Aug 2002","INTEL","Desktop"
"Pentium 4 2.53","Northwood","1-Core","Intel Socket 478","130 nm","2527 MHz","19.0x","1.5 V","8K / 512K / 0K","110W","May 2002","INTEL","Desktop"
"Pentium 4 2.4","Northwood","1-Core","Intel Socket 478","130 nm","2400 MHz","24.0x","1.5 V","8K / 512K / 0K","92W","May 2002","INTEL","Desktop"
"Pentium 4 2.4","Northwood","1-Core","Intel Socket 478","130 nm","2400 MHz","18.0x","1.5 V","8K / 512K / 0K","110W","Apr 2002","INTEL","Desktop"
"Pentium III 1400S","Tualatin","1-Core","Intel Socket 370","130 nm","1400 MHz","10.5x","1.45 V","8K / 512K / 0K","32W","Jan 2002","INTEL","Desktop"
"Pentium 4 2.26","Northwood","1-Core","Intel Socket 478","130 nm","2261 MHz","17.0x","1.5 V","8K / 512K / 0K","110W","Jan 2002","INTEL","Desktop"
"Pentium 4 2.2","Northwood","1-Core","Intel Socket 478","130 nm","2200 MHz","22.0x","1.5 V","8K / 512K / 0K","92W","Jan 2002","INTEL","Desktop"
"Pentium 4 2.0","Northwood","1-Core","Intel Socket 478","130 nm","2000 MHz","20.0x","1.5 V","8K / 512K / 0K","92W","Jan 2002","INTEL","Desktop"
"Pentium III 1400","Tualatin","1-Core","Intel Socket 370","130 nm","1400 MHz","10.5x","1.5 V","8K / 256K / 0K","31W","Dec 2001","INTEL","Desktop"
"Pentium III 1333","Tualatin","1-Core","Intel Socket 370","130 nm","1333 MHz","10.0x","1.475 V","8K / 256K / 0K","30W","Dec 2001","INTEL","Desktop"
"Pentium 4 2.0","Willamette","1-Core","Intel Socket 423","180 nm","2000 MHz","20.0x","1.75 V","8K / 256K / 0K","72W","Aug 2001","INTEL","Desktop"
"Pentium 4 1.9","Willamette","1-Core","Intel Socket 423","180 nm","1900 MHz","19.0x","1.75 V","8K / 256K / 0K","69W","Aug 2001","INTEL","Desktop"
"Pentium 4 1.4","Willamette","1-Core","Intel Socket 478","180 nm","1400 MHz","14.0x","1.75 V","8K / 256K / 0K","55W","Aug 2001","INTEL","Desktop"
"Pentium 4 1.5","Willamette","1-Core","Intel Socket 478","180 nm","1500 MHz","15.0x","1.75 V","8K / 256K / 0K","58W","Aug 2001","INTEL","Desktop"
"Pentium 4 1.6","Willamette","1-Core","Intel Socket 478","180 nm","1600 MHz","16.0x","1.75 V","8K / 256K / 0K","61W","Aug 2001","INTEL","Desktop"
"Pentium 4 1.7","Willamette","1-Core","Intel Socket 478","180 nm","1700 MHz","17.0x","1.75 V","8K / 256K / 0K","64W","Aug 2001","INTEL","Desktop"
"Pentium 4 1.80","Willamette","1-Core","Intel Socket 478","180 nm","1800 MHz","18.0x","1.75 V","8K / 256K / 0K","67W","Aug 2001","INTEL","Desktop"
"Pentium 4 1.9","Willamette","1-Core","Intel Socket 478","180 nm","1900 MHz","19.0x","1.75 V","8K / 256K / 0K","69W","Aug 2001","INTEL","Desktop"
"Pentium 4 2.0","Willamette","1-Core","Intel Socket 478","180 nm","2000 MHz","20.0x","1.75 V","8K / 256K / 0K","72W","Aug 2001","INTEL","Desktop"
"Pentium 4 1.8A","Willamette","1-Core","Intel Socket 423","180 nm","1800 MHz","18.0x","1.75 V","8K / 256K / 0K","67W","Jul 2001","INTEL","Desktop"
"Pentium 4 1.6","Willamette","1-Core","Intel Socket 423","180 nm","1600 MHz","16.0x","1.75 V","8K / 256K / 0K","61W","Jul 2001","INTEL","Desktop"
"Pentium III 1000","Tualatin","1-Core","Intel Socket 370","130 nm","1000 MHz","7.5x","1.475 V","8K / 256K / 0K","30W","Jul 2001","INTEL","Desktop"
"Pentium III 1200","Tualatin","1-Core","Intel Socket 370","130 nm","1200 MHz","9.0x","1.475 V","8K / 256K / 0K","30W","Jul 2001","INTEL","Desktop"
"Pentium III 1133","Tualatin","1-Core","Intel Socket 370","130 nm","1133 MHz","8.5x","1.475 V","8K / 256K / 0K","29W","Jul 2001","INTEL","Desktop"
"Pentium III 1266S","Tualatin","1-Core","Intel Socket 370","130 nm","1266 MHz","9.5x","1.45 V","8K / 512K / 0K","30W","Jul 2001","INTEL","Desktop"
"Pentium III 1133S","Tualatin","1-Core","Intel Socket 370","130 nm","1133 MHz","9.5x","1.45 V","8K / 512K / 0K","29W","Jun 2001","INTEL","Desktop"
"Pentium III 1000S","Tualatin","1-Core","Intel Socket 370","130 nm","1000 MHz","7.5x","1.475 V","8K / 512K / 0K","30W","Jun 2001","INTEL","Desktop"
"Pentium III 1133","Coppermine T","1-Core","Intel Socket 370","180 nm","1133 MHz","8.5x","1.75 V","8K / 256K / 0K","29W","Jun 2001","INTEL","Desktop"
"Pentium III 1000","Coppermine T","1-Core","Intel Socket 370","180 nm","1000 MHz","7.5x","1.75 V","8K / 256K / 0K","29W","Jun 2001","INTEL","Desktop"
"Pentium III  933","Coppermine T","1-Core","Intel Socket 370","180 nm","933 MHz","7.0x","1.75 V","8K / 256K / 0K","27W","Jun 2001","INTEL","Desktop"
"Pentium III  866","Coppermine T","1-Core","Intel Socket 370","180 nm","866 MHz","6.5x","1.75 V","8K / 256K / 0K","38W","Jun 2001","INTEL","Desktop"
"Pentium III  800","Coppermine T","1-Core","Intel Socket 370","180 nm","800 MHz","6.0x","1.75 V","8K / 256K / 0K","38W","Jun 2001","INTEL","Desktop"
"Pentium 4 1.7","Willamette","1-Core","Intel Socket 423","180 nm","1700 MHz","17.0x","1.75 V","8K / 256K / 0K","64W","Apr 2001","INTEL","Desktop"
"Pentium 4 1.3","Willamette","1-Core","Intel Socket 478","180 nm","1300 MHz","13.0x","1.75 V","8K / 256K / 0K","52W","Jan 2001","INTEL","Desktop"
"Pentium 4 2.0","Northwood","1-Core","Intel Socket 478","130 nm","2000 MHz","15.0x","1.5 V","8K / 512K / 0K","110W","Jan 2001","INTEL","Desktop"
"Core 2 Duo E8600","Wolfdale","2-Core","Intel Socket 775","45 nm","3333 MHz","10.0x","1.2 V","128K / 6144K / 0K","65W","Jan 2001","INTEL","Desktop"
"Core 2 Quad Q7600","Yorkfield","4-Core","Intel Socket 775","45 nm","2666 MHz","8.0x","0.9 V","256K / 2048K / 0K","95W","Jan 2001","INTEL","Desktop"
"Pentium 4 HT 515","Prescott","1-Core","Intel Socket 775","90 nm","2933 MHz","22.0x","1.388 V","16K / 1024K / 0K","84W","Jan 2001","INTEL","Desktop"
"Pentium 4 HT 515","Prescott","1-Core","Intel Socket 775","90 nm","2933 MHz","22.0x","1.388 V","16K / 1024K / 0K","84W","Jan 2001","INTEL","Desktop"
"Pentium 4 HT 516","Prescott","1-Core","Intel Socket 775","90 nm","2933 MHz","22.0x","1.4 V","16K / 1024K / 0K","84W","Jan 2001","INTEL","Desktop"
"Pentium 4 HT 516","Prescott","1-Core","Intel Socket 775","90 nm","2933 MHz","22.0x","1.4 V","16K / 1024K / 0K","84W","Jan 2001","INTEL","Desktop"
"Pentium 4 HT 517","Prescott","1-Core","Intel Socket 775","90 nm","2933 MHz","22.0x","1.4 V","16K / 1024K / 0K","84W","Jan 2001","INTEL","Desktop"
"Pentium 4 HT 517","Prescott","1-Core","Intel Socket 775","90 nm","2933 MHz","22.0x","1.4 V","16K / 1024K / 0K","84W","Jan 2001","INTEL","Desktop"
"Pentium 4 HT 524","Prescott","1-Core","Intel Socket 775","90 nm","3060 MHz","23.0x","1.4 V","16K / 1024K / 0K","84W","Jan 2001","INTEL","Desktop"
"Pentium 4 HT 524","Prescott","1-Core","Intel Socket 775","90 nm","3060 MHz","23.0x","1.4 V","16K / 1024K / 0K","84W","Jan 2001","INTEL","Desktop"
"Pentium 4 1.4","Willamette","1-Core","Intel Socket 423","180 nm","1400 MHz","14.0x","1.75 V","8K / 256K / 0K","55W","Nov 2000","INTEL","Desktop"
"Pentium 4 1.5","Willamette","1-Core","Intel Socket 423","180 nm","1500 MHz","15.0x","1.75 V","8K / 256K / 0K","58W","Nov 2000","INTEL","Desktop"
"Pentium III 1133","Coppermine","1-Core","Intel Socket 370","180 nm","1133 MHz","8.5x","1.75 V","8K / 256K / 0K","29W","Jul 2000","INTEL","Desktop"
"FX-8370","Vishera","8-Core","AMD Socket AM3+","32 nm","4000 MHz","20.0x","1.45 V","384K / 8192K / 8192K","125W","Sep 2014","AMD","Desktop"
"FX-8370E","Vishera","8-Core","AMD Socket AM3+","32 nm","3300 MHz","16.5x","1.45 V","384K / 8192K / 8192K","95W","Sep 2014","AMD","Desktop"
"FX-8320E","Vishera","8-Core","AMD Socket AM3+","32 nm","3200 MHz","16.0x","1.425 V","384K / 8192K / 8192K","95W","Sep 2014","AMD","Desktop"
"A10-7850K","Kaveri","4-Core","AMD Socket FM2","28 nm","3700 MHz","37.0x","1.475 V","128K / 1024K / 0K","95W","Jan 2014","AMD","Desktop"
"A10-7700K","Kaveri","4-Core","AMD Socket FM2","28 nm","3500 MHz","35.0x","1.475 V","128K / 1024K / 0K","95W","Jan 2014","AMD","Desktop"
"A10-6790K","Richland","4-Core","AMD Socket FM2","32 nm","4000 MHz","40.0x","1.475 V","128K / 1024K / 0K","100W","Oct 2013","AMD","Desktop"
"A10-6700T","Richland","4-Core","AMD Socket FM2","32 nm","2500 MHz","25.0x","1.475 V","128K / 1024K / 0K","45W","Sep 2013","AMD","Desktop"
"FX-9370","Vishera","8-Core","AMD Socket AM3+","32 nm","4400 MHz","22.0x","1.912 V","384K / 8192K / 8192K","220W","Jul 2013","AMD","Desktop"
"FX-9590","Vishera","8-Core","AMD Socket AM3+","32 nm","4700 MHz","23.5x","1.912 V","384K / 8192K / 8192K","220W","Jul 2013","AMD","Desktop"
"A4-4000","Richland","2-Core","AMD Socket FM2","32 nm","3000 MHz","30.0x","1.475 V","128K / 1024K / 0K","65W","Jun 2013","AMD","Desktop"
"A10-6800K","Richland","4-Core","AMD Socket FM2","32 nm","4100 MHz","41.0x","1.475 V","128K / 1024K / 0K","100W","Jun 2013","AMD","Desktop"
"A10-6700","Richland","4-Core","AMD Socket FM2","32 nm","3700 MHz","37.0x","1.475 V","128K / 1024K / 0K","65W","Jun 2013","AMD","Desktop"
"A8-6600K","Richland","4-Core","AMD Socket FM2","32 nm","3900 MHz","39.0x","1.475 V","128K / 1024K / 0K","100W","Jun 2013","AMD","Desktop"
"A8-6500","Richland","4-Core","AMD Socket FM2","32 nm","3500 MHz","35.0x","1.475 V","128K / 1024K / 0K","65W","Jun 2013","AMD","Desktop"
"A6-6400K","Richland","2-Core","AMD Socket FM2","32 nm","3900 MHz","39.0x","1.475 V","128K / 1024K / 0K","65W","Jun 2013","AMD","Desktop"
"A4-6300","Richland","2-Core","AMD Socket FM2","32 nm","3700 MHz","37.0x","1.475 V","128K / 1024K / 0K","65W","Jun 2013","AMD","Desktop"
"FX-6350","Vishera","6-Core","AMD Socket AM3+","32 nm","3900 MHz","19.5x","1.4 V","288K / 6144K / 8192K","125W","Apr 2013","AMD","Desktop"
"FX-4350","Vishera","4-Core","AMD Socket AM3+","32 nm","4200 MHz","19.5x","1.4 V","288K / 4096K / 8192K","125W","Apr 2013","AMD","Desktop"
"Athlon II X2 280","Regor","2-Core","AMD Socket AM3","45 nm","3600 MHz","18.0x","1.15 V","128K / 1024K / 0K","65W","Feb 2013","AMD","Desktop"
"FX-4130","Vishera","4-Core","AMD Socket AM3+","32 nm","3800 MHz","19.0x","1.425 V","192K / 4096K / 8192K","125W","Jan 2013","AMD","Desktop"
"E2-2000","Zacate","2-Core","AMD Socket FT1","40 nm","1750 MHz","9.0x","1.35 V","64K / 512K / 0K","18W","Jan 2013","AMD","Desktop"
"E1-1500","Zacate","2-Core","AMD Socket FT1","40 nm","1480 MHz","7.5x","1.35 V","64K / 512K / 0K","18W","Jan 2013","AMD","Desktop"
"FX-8350","Vishera","8-Core","AMD Socket AM3+","32 nm","4000 MHz","20.0x","1.45 V","384K / 8192K / 8192K","125W","Oct 2012","AMD","Desktop"
"FX-8300","Vishera","8-Core","AMD Socket AM3+","32 nm","3300 MHz","16.5x","1.425 V","384K / 8192K / 8192K","95W","Oct 2012","AMD","Desktop"
"FX-8140","Zambezi","8-Core","AMD Socket AM3+","32 nm","3200 MHz","16.0x","1.425 V","384K / 8192K / 8192K","95W","Oct 2012","AMD","Desktop"
"FX-8170","Zambezi","8-Core","AMD Socket AM3+","32 nm","3900 MHz","19.5x","1.45 V","384K / 8192K / 8192K","125W","Oct 2012","AMD","Desktop"
"FX-6120","Zambezi","6-Core","AMD Socket AM3+","32 nm","3600 MHz","18.0x","1.425 V","288K / 6144K / 8192K","95W","Oct 2012","AMD","Desktop"
"FX-6130","Zambezi","6-Core","AMD Socket AM3+","32 nm","3600 MHz","18.0x","1.425 V","288K / 6144K / 8192K","95W","Oct 2012","AMD","Desktop"
"FX-4120","Zambezi","4-Core","AMD Socket AM3+","32 nm","3900 MHz","19.5x","1.425 V","192K / 4096K / 8192K","95W","Oct 2012","AMD","Desktop"
"FX-4150","Zambezi","4-Core","AMD Socket AM3+","32 nm","3800 MHz","19.0x","1.425 V","192K / 4096K / 8192K","95W","Oct 2012","AMD","Desktop"
"FX-6300","Vishera","6-Core","AMD Socket AM3+","32 nm","3500 MHz","17.5x","1.4 V","288K / 6144K / 8192K","95W","Oct 2012","AMD","Desktop"
"FX-4320","Vishera","4-Core","AMD Socket AM3+","32 nm","4000 MHz","20.0x","1.425 V","192K / 4096K / 8192K","95W","Oct 2012","AMD","Desktop"
"FX-8320","Vishera","8-Core","AMD Socket AM3+","32 nm","3500 MHz","17.5x","1.425 V","384K / 8192K / 8192K","125W","Oct 2012","AMD","Desktop"
"FX-4300","Vishera","4-Core","AMD Socket AM3+","32 nm","3800 MHz","19.0x","1.425 V","192K / 4096K / 8192K","95W","Oct 2012","AMD","Desktop"
"A10-5800K","Trinity","4-Core","AMD Socket FM2","32 nm","3800 MHz","38.0x","1.475 V","128K / 1024K / 0K","100W","Oct 2012","AMD","Desktop"
"A8-5600K","Trinity","4-Core","AMD Socket FM2","32 nm","3600 MHz","36.0x","1.475 V","128K / 1024K / 0K","100W","Oct 2012","AMD","Desktop"
"A10-5700","Trinity","4-Core","AMD Socket FM2","32 nm","3400 MHz","34.0x","1.475 V","128K / 1024K / 0K","65W","Oct 2012","AMD","Desktop"
"A6-5400K","Trinity","4-Core","AMD Socket FM2","32 nm","3600 MHz","36.0x","1.475 V","128K / 1024K / 0K","65W","Oct 2012","AMD","Desktop"
"A8-5500","Trinity","4-Core","AMD Socket FM2","32 nm","3200 MHz","32.0x","1.475 V","128K / 1024K / 0K","65W","Oct 2012","AMD","Desktop"
"A10-5800B","Trinity","4-Core","AMD Socket FM2","32 nm","3800 MHz","38.0x","1.475 V","128K / 1024K / 0K","100W","Oct 2012","AMD","Desktop"
"A8-5500B","Trinity","4-Core","AMD Socket FM2","32 nm","3200 MHz","32.0x","1.475 V","128K / 1024K / 0K","65W","Oct 2012","AMD","Desktop"
"A6-5400B","Trinity","4-Core","AMD Socket FM2","32 nm","3600 MHz","36.0x","1.475 V","128K / 1024K / 0K","65W","Oct 2012","AMD","Desktop"
"A4-5300B","Trinity","2-Core","AMD Socket FM2","32 nm","3400 MHz","36.0x","1.475 V","128K / 1024K / 0K","65W","Oct 2012","AMD","Desktop"
"A4-5300","Trinity","2-Core","AMD Socket FM2","32 nm","3400 MHz","36.0x","1.475 V","128K / 1024K / 0K","65W","Oct 2012","AMD","Desktop"
"E1-1200","Zacate","2-Core","AMD Socket FT1","40 nm","1400 MHz","7.0x","1.35 V","64K / 512K / 0K","18W","Jun 2012","AMD","Desktop"
"E2-1800","Zacate","2-Core","AMD Socket FT1","40 nm","1700 MHz","8.5x","1.35 V","64K / 512K / 0K","18W","Jun 2012","AMD","Desktop"
"FX-6200","Zambezi","6-Core","AMD Socket AM3+","32 nm","3800 MHz","19.0x","1.4 V","288K / 6144K / 8192K","125W","Feb 2012","AMD","Desktop"
